PARTNER_APP_ID,DAY,OS_NAME,N_USERS_STARTED_SELFIE_CHECK_FLOW,N_USERS_SHARED_A_PROOF,CUMULATIVE_N_USERS_SHARED_A_PROOF,P_FACE_CAPTURE_COMPLETION
app_8b1d7caeac7af6a7984c189e1dd9e3a6,2026-08-20,Android,22,10,140,0.695652
app_8b1d7caeac7af6a7984c189e1dd9e3a6,2026-08-20,iOS,3,1,40,1.000000
app_8b1d7caeac7af6a7984c189e1dd9e3a6,2026-08-21,Android,18,4,144,0.733333
app_8b1d7caeac7af6a7984c189e1dd9e3a6,2026-08-21,iOS,3,2,42,1.000000
app_8b1d7caeac7af6a7984c189e1dd9e3a6,2026-08-22,Android,16,6,150,0.850000
app_8b1d7caeac7af6a7984c189e1dd9e3a6,2026-08-22,iOS,4,3,45,1.000000
app_8b1d7caeac7af6a7984c189e1dd9e3a6,2026-08-23,Android,28,13,163,0.833333
app_8b1d7caeac7af6a7984c189e1dd9e3a6,2026-08-23,iOS,4,1,46,0.500000
app_8b1d7caeac7af6a7984c189e1dd9e3a6,2026-08-23,unknown,0,0,0,1.000000
app_8b1d7caeac7af6a7984c189e1dd9e3a6,2026-08-24,Android,15,7,170,0.666667
app_8b1d7caeac7af6a7984c189e1dd9e3a6,2026-08-24,iOS,1,0,46,0.000000
app_8b1d7caeac7af6a7984c189e1dd9e3a6,2026-08-25,Android,22,9,179,0.687500
app_8b1d7caeac7af6a7984c189e1dd9e3a6,2026-08-25,iOS,2,1,47,0.500000
app_8b1d7caeac7af6a7984c189e1dd9e3a6,2026-08-26,Android,29,12,191,0.814815
app_8b1d7caeac7af6a7984c189e1dd9e3a6,2026-08-26,iOS,6,3,50,0.666667
app_75c2486e930cb8c0026266335c869b7a,2026-08-05,Android,1,0,1,\\N
app_75c2486e930cb8c0026266335c869b7a,2026-08-06,Android,1,1,1,1.000000
app_75c2486e930cb8c0026266335c869b7a,2026-08-06,iOS,2,1,1,1.000000
app_75c2486e930cb8c0026266335c869b7a,2026-08-07,iOS,1,1,1,1.000000
app_75c2486e930cb8c0026266335c869b7a,2026-08-10,Android,1,0,1,\\N
app_75c2486e930cb8c0026266335c869b7a,2026-08-10,iOS,1,1,2,1.000000
app_75c2486e930cb8c0026266335c869b7a,2026-08-13,iOS,1,1,3,1.000000
app_75c2486e930cb8c0026266335c869b7a,2026-08-14,iOS,1,1,4,1.000000
app_75c2486e930cb8c0026266335c869b7a,2026-08-18,Android,1,1,2,1.000000
app_75c2486e930cb8c0026266335c869b7a,2026-08-19,Android,1,0,2,0.000000
app_75c2486e930cb8c0026266335c869b7a,2026-08-19,iOS,1,1,4,1.000000
app_75c2486e930cb8c0026266335c869b7a,2026-08-20,iOS,2,1,5,1.000000
app_75c2486e930cb8c0026266335c869b7a,2026-08-21,iOS,1,1,6,1.000000
app_75c2486e930cb8c0026266335c869b7a,2026-08-23,iOS,2,1,7,0.500000
app_75c2486e930cb8c0026266335c869b7a,2026-08-24,iOS,2,2,9,1.000000
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-07,Android,48,17,197,0.660000
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-07,iOS,7,2,37,0.375000
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-08,Android,55,17,212,0.531915
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-08,iOS,6,2,39,0.750000
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-09,Android,65,20,232,0.676471
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-09,iOS,8,3,41,0.857143
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-10,Android,41,14,246,0.777778
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-10,iOS,8,4,45,0.857143
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-11,Android,54,14,260,0.666667
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-11,iOS,9,6,50,0.818182
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-12,Android,56,14,272,0.740741
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-12,iOS,11,4,54,0.454545
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-12,unknown,0,0,0,1.000000
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-13,Android,44,10,282,0.568182
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-13,iOS,6,5,59,0.700000
app_1a2d54d1f2a3e7a01b670a4dd246569b,2026-08-27,iOS,2,2,10,1.000000
