PARTNER_APP_ID,N_USERS_STARTED_AT_LEAST_ONE_SELFIE_CHECK_FLOW,N_USERS_SHARED_AT_LEAST_ONE_PROOF,N_SELFIE_CHECK_STARTED_SESSIONS,N_FACE_CAPTURE_STARTED_SESSIONS,N_FACE_CAPTURE_COMPLETED_SESSIONS,N_PROOF_SHARED_SESSIONS,P_SELFIE_CHECK_TO_FACE_CAPTURE_STARTED_COMPLETION,P_FACE_CAPTURE_STARTED_TO_COMPLETED_COMPLETION,P_FACE_CAPTURE_COMPLETED_TO_PROOF_SHARED_COMPLETION
app_01b7d43271c41b7e09e08f1c4481dd60,6,4,44,33,26,23,0.75,0.7878787879,0.8846153846
app_4c0f2b7ac8e5f61b994ff642c8670c62,3,2,8,5,4,3,0.625,0.8,0.75
app_625b0317165fdf3858da47df7ddb1048,1,0,1,1,0,0,1,0,\\N
app_24450c17b4c11c75a5070bf5a8b1e8ec,183,95,278,187,128,107,0.6726618705,0.6844919786,0.8359375
app_staging_c8137371ceac59890774ccc932e11dcf,1,1,4,3,3,2,0.75,1,0.6666666667
app_8b1d7caeac7af6a7984c189e1dd9e3a6,712,317,869,717,538,320,0.8250863061,0.750348675,0.594795539
app_8cbf81c941bfa1bf4ce1a60653ca3af8,2,2,7,7,7,7,1,1,1
app_15586c74aff1e64417f5e037a6fccde7,2430,1106,3131,2359,1567,1117,0.7534334079,0.6642645189,0.7128270581
app_043865b1148453ebbc65c19a6357abe0,5,5,24,24,24,24,1,1,1
app_0c78ee6a87b689a34f560b6872d395c6,1,1,1,1,1,1,1,1,1
app_1a2d54d1f2a3e7a01b670a4dd246569b,27,20,54,39,35,33,0.7222222222,0.8974358974,0.9428571429
app_0d4b759921490adc1f2bd569fda9b53a,1546,731,3674,2312,1651,1087,0.6292868808,0.714100346,0.6583888552
app_d0ab5592517021bc13cdbc2453f06e7c,6,5,78,78,77,58,1,0.9871794872,0.7532467532
app_90b027a69afb859b2aa87a85fa9b5b90,167,113,239,218,195,160,0.9121338912,0.8944954128,0.8205128205
app_d8bbd5341f16fb97a61e644b7e169c0e,1,0,2,0,0,0,0,\\N,\\N
app_2b844d67b82792169b6db5ca1e21b4a0,3,1,3,3,1,1,1,0.3333333333,1
app_4938d94f3b4c5e94d63b29ca05214cd5,2,1,3,2,2,1,0.6666666667,1,0.5
app_a270c46e8ca572028d85146a9ebd2a14,5,4,42,40,38,27,0.9523809524,0.95,0.7105263158
app_b871efd435c0498e8d5aaf2517a54185,1,1,2,1,1,1,0.5,1,1
app_b8f69265fd23302eef25595ef2dfa059,487,192,670,461,317,196,0.6880597015,0.6876355748,0.61829653
app_75c2486e930cb8c0026266335c869b7a,22,18,85,70,60,43,0.8235294118,0.8571428571,0.7166666667
app_5ad2be731addf581206b6b54d9d71cce,3,0,3,3,0,0,1,0,\\N
